Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C00712,P00442,25/12/2025,MK
INV00002,C00168,"P00270,P00442",16/05/2024,CYB
INV00003,C00904,"P00530,P00355,P00522,P00224",01/07/2024,ST
INV00004,C01112,P00157,31/03/2025,TKO
INV00005,C00361,"P00160,P00020,P00116,P00165",09/08/2024,ST
INV00006,C00772,"P00364,P00207",23/08/2025,MK
INV00007,C01173,"P00049,P00341,P00368",16/05/2025,TKO
INV00008,C00905,"P00271,P00387",31/07/2024,ST
INV00009,C00809,"P00006,P00345,P00489",01/10/2025,TKO
INV00010,C00436,"P00271,P00387",08/02/2024,MK
INV00011,C00838,P00520,01/05/2024,MK
INV00012,C00869,"P00270,P00442,P00118,P00217",18/12/2025,TKO
INV00013,C00401,"P00235,P00355",07/03/2025,ST
INV00014,C00575,"P00510,P00068,P00229",06/07/2025,TKO
INV00015,C00455,"P00405,P00234,P00342",04/02/2025,TKO
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",25/08/2025,ST
INV00017,C00561,"P00247,P00214,P00506,P00400",12/12/2025,TKO
INV00018,C00194,"P00271,P00387,P00135,P00069",28/01/2025,TKO
INV00019,C01109,"P00508,P00439,P00232,P00436",06/05/2025,TKO
INV00020,C00334,"P00057,P00364",12/08/2025,TKO
INV00021,C01164,"P00005,P00112,P00429,P00491",21/12/2024,TKO
INV00022,C01032,"P00270,P00442,P00432",06/12/2025,TKO
INV00023,C00911,"P00343,P00243,P00345,P00004,P00319",10/12/2025,ST
INV00024,C00918,"P00018,P00081",20/03/2025,MK
INV00025,C00977,"P00246,P00446,P00034,P00275",09/06/2025,ST
INV00026,C01098,P00336,20/05/2025,CYB
INV00027,C00492,"P00154,P00286,P00391",15/11/2025,MK
INV00028,C00345,"P00438,P00513,P00036",29/05/2025,TKO
INV00029,C00020,"P00270,P00442,P00268",20/05/2024,TKO
INV00030,C00192,"P00293,P00099,P00206,P00499",21/07/2024,ST
INV00031,C00124,"P00147,P00181,P00004,P00210",27/03/2025,MK
INV00032,C00106,"P00498,P00405,P00152",16/03/2025,MK
INV00033,C01027,"P00267,P00004,P00378,P00019,P00180",09/10/2025,TKO
INV00034,C00301,"P00009,P00097,P00406,P00151,P00323",01/02/2025,MK
INV00035,C00549,"P00270,P00442,P00230,P00338",27/07/2024,ST
INV00036,C00668,"P00270,P00442,P00088,P00211",26/04/2025,CYB
INV00037,C00776,"P00200,P00494,P00228",09/07/2024,ST
INV00038,C00811,"P00513,P00231,P00509,P00033",11/12/2025,MK
INV00039,C00899,"P00270,P00442,P00185",24/03/2025,MK
INV00040,C00678,"P00203,P00465,P00013",29/04/2025,MK
INV00041,C00034,"P00270,P00442,P00522,P00269",31/07/2024,ST
INV00042,C01035,"P00053,P00499,P00071,P00473,P00198",26/09/2025,CYB
INV00043,C00046,"P00271,P00387,P00179",03/08/2024,MK
INV00044,C01099,"P00494,P00445",07/01/2025,CYB
INV00045,C00856,"P00121,P00041,P00413",29/09/2024,CYB
INV00046,C00410,"P00500,P00327",11/06/2024,TKO
INV00047,C01097,"P00202,P00493",16/06/2024,MK
INV00048,C00909,"P00479,P00304,P00042",05/06/2024,MK
INV00049,C01055,"P00368,P00070,P00448,P00034",13/01/2024,MK
INV00050,C00840,"P00277,P00435,P00281",24/10/2024,TKO
INV00051,C00691,"P00517,P00516,P00491,P00003,P00192",10/08/2024,TKO
INV00052,C00544,"P00045,P00107,P00499",03/11/2024,TKO
INV00053,C00594,"P00179,P00158,P00367,P00472",11/06/2024,TKO
INV00054,C00039,"P00062,P00465,P00471,P00219",23/03/2024,TKO
INV00055,C00094,"P00264,P00127",21/01/2025,ST
INV00056,C00586,"P00476,P00365,P00249,P00317",05/06/2024,TKO
INV00057,C00313,"P00271,P00387,P00015",24/07/2024,MK
