Customer id,Monetary,Frequency,Recency,Monetary_log,R_score,F_score,M_score,RFM_score,RFM_numeric,segment,cluster
C00001,11663.89,3,59,9.36433875449251,4,2,3,423,423,New / Promising,0
C00002,9110.17,4,10,9.117256412303917,5,3,3,533,533,Loyal,0
C00003,11245.630000000001,2,164,9.327823807201284,3,1,3,313,313,Other,0
C00004,16331.02,6,165,9.700882877028478,3,5,4,354,354,Loyal,0
C00005,9873.15,5,217,9.197675510115209,2,4,3,243,243,Frequent but at risk,0
C00006,9006.21,3,245,9.105780646711237,2,2,3,223,223,Other,0
C00007,13079.56,4,53,9.478882437550377,4,3,3,433,433,Loyal,0
C00008,15638.1,6,157,9.657529467686507,3,5,4,354,354,Loyal,0
C00009,6462.34,4,408,8.773901491027571,1,3,2,132,132,Other,1
C00010,14914.42,6,9,9.610150856123278,5,5,4,554,554,Champions,0
C00011,8365.05,4,16,9.031937128556123,5,3,2,532,532,Other,0
C00012,11260.02,3,497,9.329102483736653,1,2,3,123,123,Other,1
C00013,24761.54,6,135,10.117087306351287,3,5,5,355,355,Loyal,0
C00014,6920.91,4,153,8.842447022088226,3,3,2,332,332,Other,0
C00015,11313.919999999998,3,531,9.333877487781928,1,2,3,123,123,Other,1
C00016,16216.08,3,142,9.693820286802108,3,2,4,324,324,Other,0
C00017,11524.11,5,36,9.352283412287848,5,4,3,543,543,Loyal,0
C00018,39383.78,9,47,10.581134726238874,4,5,5,455,455,Champions,0
C00019,35584.66,8,229,10.479698026702025,2,5,5,255,255,Frequent but at risk,0
C00020,9601.91,3,192,9.169821456522827,2,2,3,223,223,Other,0
C00021,33270.32,8,37,10.412451043608703,5,5,5,555,555,Champions,0
C00022,2366.54,3,184,7.769606720376852,2,2,1,221,221,At Risk / Churn,1
C00023,31833.949999999997,6,27,10.368320021851494,5,5,5,555,555,Champions,0
C00024,10774.289999999999,4,231,9.285010828762902,2,3,3,233,233,Other,0
C00025,14808.11,7,279,9.602997810925373,2,5,4,254,254,Frequent but at risk,0
C00026,15029.97,3,226,9.617868018256043,2,2,4,224,224,Other,0
C00027,3421.2599999999998,2,94,8.138056430525557,4,1,1,411,411,New / Promising,1
C00028,2337.63,4,389,7.757320566811742,1,3,1,131,131,Other,1
C00029,16652.12,7,61,9.720352865241153,4,5,4,454,454,Champions,0
C00030,5102.69,3,202,8.537719086502964,2,2,2,222,222,At Risk / Churn,1
C00031,6990.929999999999,2,167,8.85251190584361,3,1,2,312,312,Other,1
C00032,7175.25,2,481,8.878532241481846,1,1,2,112,112,At Risk / Churn,1
C00034,30822.61,8,322,10.336036233747363,1,5,5,155,155,Frequent but at risk,0
C00035,17125.39,5,70,9.748375827719704,4,4,4,444,444,Champions,0
C00036,3572.23,2,63,8.181225227628104,4,1,1,411,411,New / Promising,1
C00037,8859.65,3,261,9.089375404339313,2,2,3,223,223,Other,1
C00038,19899.149999999998,4,152,9.898482548372618,3,3,5,335,335,Loyal,0
C00039,7906.72,3,84,8.975594776481058,4,2,2,422,422,New / Promising,0
C00040,8484.33,3,105,9.046094069074686,3,2,2,322,322,Other,0
C00041,14570.78,5,280,9.586842060567328,2,4,4,244,244,Frequent but at risk,0
C00042,2619.49,3,23,7.8711166021693035,5,2,1,521,521,New / Promising,1
C00043,525.53,1,82,6.266308310007709,4,1,1,411,411,New / Promising,1
C00044,11898.28,2,112,9.384233173067487,3,1,3,313,313,Other,0
C00045,20050.19,8,80,9.906043782594425,4,5,5,455,455,Champions,0
