Customer id,Monetary,Frequency,Recency,Monetary_log,R_score,F_score,M_score,RFM_score,RFM_numeric,segment,cluster,Annualized_spend,Gender,Age,Payment method
C00001,11663.89,3,59,9.36433875449251,4,2,3,423,423,New / Promising,0,5823.966963064295,M,19,Credit Card
C00002,9110.17,4,10,9.117256412303917,5,3,3,533,533,Loyal,0,4548.8536935704515,M,47,Cash
C00003,11245.630000000001,2,164,9.327823807201284,3,1,3,313,313,Other,0,5615.123050615595,M,51,Cash
C00004,16331.02,6,165,9.700882877028478,3,5,4,354,354,Loyal,0,8154.339671682626,M,31,Cash
C00005,9873.15,5,217,9.197675510115209,2,4,3,243,243,Frequent but at risk,0,4929.821819425444,M,27,Cash
C00006,9006.21,3,245,9.105780646711237,2,2,3,223,223,Other,0,4496.944801641586,F,40,Cash
C00007,13079.56,4,53,9.478882437550377,4,3,3,433,433,Loyal,0,6530.83365253078,F,24,Cash
C00008,15638.1,6,157,9.657529467686507,3,5,4,354,354,Loyal,0,7808.353625170998,F,49,Cash
C00009,6462.34,4,408,8.773901491027571,1,3,2,132,132,Other,1,3226.7497948016417,F,31,Credit Card
C00010,14914.42,6,9,9.610150856123278,5,5,4,554,554,Champions,0,7447.008618331053,M,50,Cash
C00011,8365.05,4,16,9.031937128556123,5,3,2,532,532,Other,0,4176.803351573187,M,49,Credit Card
C00012,11260.02,3,497,9.329102483736653,1,2,3,123,123,Other,1,5622.308207934337,M,20,Credit Card
C00013,24761.54,6,135,10.117087306351287,3,5,5,355,355,Loyal,0,12363.833242134062,F,43,Cash
C00014,6920.91,4,153,8.842447022088226,3,3,2,332,332,Other,0,3455.721135430916,M,32,Cash
C00015,11313.919999999998,3,531,9.333877487781928,1,2,3,123,123,Other,1,5649.221340629274,F,45,Cash
C00016,16216.08,3,142,9.693820286802108,3,2,4,324,324,Other,0,8096.948290013679,M,29,Cash
C00017,11524.11,5,36,9.352283412287848,5,4,3,543,543,Loyal,0,5754.172571819426,M,44,Credit Card
C00018,39383.78,9,47,10.581134726238874,4,5,5,455,455,Champions,0,19664.95170998632,M,19,Credit Card
C00019,35584.66,8,229,10.479698026702025,2,5,5,255,255,Frequent but at risk,0,17767.990287277702,M,54,Cash
C00020,9601.91,3,192,9.169821456522827,2,2,3,223,223,Other,0,4794.387346101231,M,55,Cash
C00021,33270.32,8,37,10.412451043608703,5,5,5,555,555,Champions,0,16612.403283173735,F,50,Cash
C00022,2366.54,3,184,7.769606720376852,2,2,1,221,221,At Risk / Churn,1,1181.6512995896032,F,43,Cash
C00023,31833.949999999997,6,27,10.368320021851494,5,5,5,555,555,Champions,0,15895.20075239398,M,39,Credit Card
C00024,10774.289999999999,4,231,9.285010828762902,2,3,3,233,233,Other,0,5379.775444596443,M,32,Cash
C00025,14808.11,7,279,9.602997810925373,2,5,4,254,254,Frequent but at risk,0,7393.92633378933,F,49,Cash
C00026,15029.97,3,226,9.617868018256043,2,2,4,224,224,Other,0,7504.704582763337,M,48,Cash
C00027,3421.2599999999998,2,94,8.138056430525557,4,1,1,411,411,New / Promising,1,1708.2898768809848,M,24,Credit Card
C00028,2337.63,4,389,7.757320566811742,1,3,1,131,131,Other,1,1167.216073871409,M,28,Cash
C00029,16652.12,7,61,9.720352865241153,4,5,4,454,454,Champions,0,8314.670041039672,M,34,Cash
C00030,5102.69,3,202,8.537719086502964,2,2,2,222,222,At Risk / Churn,1,2547.854787961696,M,54,Cash
C00031,6990.929999999999,2,167,8.85251190584361,3,1,2,312,312,Other,1,3490.6832421340623,M,35,Cash
C00032,7175.25,2,481,8.878532241481846,1,1,2,112,112,At Risk / Churn,1,3582.7171682626536,M,46,Cash
C00034,30822.61,8,322,10.336036233747363,1,5,5,155,155,Frequent but at risk,0,15390.222503419973,M,39,Mobile Payment
C00035,17125.39,5,70,9.748375827719704,4,4,4,444,444,Champions,0,8550.981326949384,M,30,Credit Card
C00036,3572.23,2,63,8.181225227628104,4,1,1,411,411,New / Promising,1,1783.6716142270861,M,55,Credit Card
C00037,8859.65,3,261,9.089375404339313,2,2,3,223,223,Other,1,4423.765047879617,M,27,Credit Card
C00038,19899.149999999998,4,152,9.898482548372618,3,3,5,335,335,Loyal,0,9935.964090287276,F,36,Cash
C00039,7906.72,3,84,8.975594776481058,4,2,2,422,422,New / Promising,0,3947.951846785226,M,30,Mobile Payment
C00040,8484.33,3,105,9.046094069074686,3,2,2,322,322,Other,0,4236.361764705882,F,33,Mobile Payment
C00041,14570.78,5,280,9.586842060567328,2,4,4,244,244,Frequent but at risk,0,7275.4236662106705,F,31,Cash
C00042,2619.49,3,23,7.8711166021693035,5,2,1,521,521,New / Promising,1,1307.9532831737345,M,60,Credit Card
C00043,525.53,1,82,6.266308310007709,4,1,1,411,411,New / Promising,1,262.40554035567715,F,29,Mobile Payment
C00044,11898.28,2,112,9.384233173067487,3,1,3,313,313,Other,0,5941.001641586868,F,43,Credit Card
C00045,20050.19,8,80,9.906043782594425,4,5,5,455,455,Champions,0,10011.380779753761,F,29,Cash
C00046,5105.889999999999,3,71,8.538345887351644,4,2,2,422,422,New / Promising,0,2549.452599179206,F,31,Credit Card
C00047,16154.56,4,629,9.690019541848462,1,3,4,134,134,Other,1,8066.230369357045,F,37,Credit Card
C00048,7146.389999999999,5,449,8.874502534081538,1,4,2,142,142,Frequent but at risk,1,3568.3069083447326,M,28,Cash
C00049,39785.34,6,5,10.591278916280007,5,5,5,555,555,Champions,0,19865.457045143638,F,54,Cash
C00050,5151.26,1,391,8.54719073234934,1,1,2,112,112,At Risk / Churn,1,2572.106566347469,F,43,Cash
C00051,5171.650000000001,2,509,8.551140408715895,1,1,2,112,112,At Risk / Churn,1,2582.2876196990424,F,47,Cash
C00052,12787.1,3,86,9.45627032998025,4,2,3,423,423,New / Promising,0,6384.803693570451,F,18,Cash
C00053,3170.27,2,71,8.061887417555015,4,1,1,411,411,New / Promising,1,1582.9665526675785,M,29,Mobile Payment
C00054,5889.42,3,125,8.681082581403897,3,2,2,322,322,Other,0,2940.681668946648,M,52,Cash
C00055,21239.71,3,123,9.96367490229248,3,2,5,325,325,Other,0,10605.327154582763,M,51,Credit Card
C00056,34477.49,9,46,10.448090930315185,4,5,5,455,455,Champions,0,17215.162585499314,F,48,Credit Card
C00057,481.8,1,272,6.1796024892233765,2,1,1,211,211,At Risk / Churn,1,240.5704514363885,M,28,Credit Card
C00058,4059.1499999999996,2,238,8.308975197726106,2,1,1,211,211,At Risk / Churn,1,2026.7985636114909,M,35,Credit Card
C00059,12533.37,5,14,9.436229750055322,5,4,3,543,543,Loyal,0,6258.1122435020525,M,23,Cash
C00060,18160.239999999998,2,15,9.807044931762505,5,1,4,514,514,New / Promising,0,9067.698495212037,M,33,Mobile Payment
C00061,23155.879999999997,5,168,10.050047207586141,3,4,5,345,345,Loyal,0,11562.10150478796,F,34,Cash
C00062,5168.95,2,124,8.550618296275825,3,1,2,312,312,Other,1,2580.939466484268,F,21,Cash
C00063,16204.4,6,89,9.693099799010596,4,5,4,454,454,Champions,0,8091.116279069767,M,22,Credit Card
C00064,30595.85,7,147,10.328652341465196,3,5,5,355,355,Loyal,0,15276.997606019151,F,41,Credit Card
C00065,15268.2,4,622,9.633593006532465,1,3,4,134,134,Other,1,7623.656634746922,M,57,Credit Card
C00066,17776.88,7,5,9.785710266863214,5,5,4,554,554,Champions,0,8876.28071135431,M,33,Credit Card
C00067,3978.49,3,52,8.288908949364245,4,2,1,421,421,New / Promising,1,1986.5237346101228,F,38,Cash
C00068,27155.36,8,84,10.20936655207251,4,5,5,455,455,Champions,0,13559.10588235294,M,37,Cash
C00069,6090.04,4,114,8.714574117881085,3,3,2,332,332,Other,0,3040.854445964432,F,26,Cash
C00070,11769.97,4,27,9.373391609772753,5,3,3,533,533,Loyal,0,5876.93440492476,F,56,Cash
C00071,6456.63,4,5,8.773017656397245,5,3,2,532,532,Other,0,3223.8987004103965,F,37,Cash
C00072,21191.63,5,232,9.961408758709352,2,4,5,245,245,Frequent but at risk,0,10581.320041039671,M,37,Mobile Payment
C00073,14056.33,3,243,9.550899246904544,2,2,4,224,224,Other,0,7018.550547195622,M,53,Mobile Payment
C00075,15993.51,6,22,9.680000817341066,5,5,4,554,554,Champions,0,7985.815526675787,F,34,Mobile Payment
C00076,24141.39,7,41,10.091724495550274,5,5,5,555,555,Champions,0,12054.182421340629,M,36,Cash
C00077,4728.08,2,201,8.461485959396537,2,1,1,211,211,At Risk / Churn,1,2360.8060191518466,F,56,Credit Card
C00078,3397.89,3,5,8.131204186712893,5,2,1,521,521,New / Promising,1,1696.6208618331052,F,49,Cash
C00079,21353.21,8,63,9.969004188912988,4,5,5,455,455,Champions,0,10661.99952120383,F,42,Cash
C00080,2753.7999999999997,3,62,7.921100123670543,4,2,1,421,421,New / Promising,1,1375.0164158686728,F,29,Credit Card
C00081,36878.82,9,99,10.515419796964476,4,5,5,455,455,Champions,0,18414.185088919286,F,48,Cash
C00082,11961.79,4,178,9.389556277891609,2,3,3,233,233,Other,0,5972.7132010943915,M,19,Cash
C00083,4684.17,1,313,8.452157480033412,1,1,1,111,111,At Risk / Churn,1,2338.881053351573,M,43,Cash
C00084,5981.62,4,38,8.69661387808533,5,3,2,532,532,Other,0,2986.7186046511624,M,55,Credit Card
C00085,8554.83,2,30,9.054368200907193,5,1,2,512,512,New / Promising,0,4271.563543091655,M,50,Credit Card
C00086,13358.23,4,145,9.499962810699152,3,3,3,333,333,Loyal,0,6669.978043775649,M,37,Credit Card
C00087,1602.3400000000001,1,511,7.379844232427211,1,1,1,111,111,At Risk / Churn,1,800.0740082079344,M,21,Cash
C00088,13805.23,4,289,9.532875218548094,1,3,4,134,134,Other,0,6893.172298221613,F,47,Cash
