Invoice no,Customer id,Product id,Invoice date,Shopping mall,Category,Price,Gender,Age,Payment method
INV00001,C00712,P00442,2025-12-25,MK,Toys,129.62,F,39,Cash
INV00002,C00168,P00270,2024-05-16,CYB,Electronics,1546.75,M,22,Credit Card
INV00002,C00168,P00442,2024-05-16,CYB,Toys,129.62,M,22,Credit Card
INV00003,C00904,P00530,2024-07-01,ST,Clothing,975.6,M,25,Cash
INV00003,C00904,P00355,2024-07-01,ST,Books,236.37,M,25,Cash
INV00003,C00904,P00522,2024-07-01,ST,Clothing,515.52,M,25,Cash
INV00003,C00904,P00224,2024-07-01,ST,Books,414.06,M,25,Cash
INV00004,C01112,P00157,2025-03-31,TKO,Toys,101.52,M,42,Credit Card
INV00005,C00361,P00160,2024-08-09,ST,Toys,120.34,F,31,Cash
INV00005,C00361,P00020,2024-08-09,ST,Electronics,3795.29,F,31,Cash
INV00005,C00361,P00116,2024-08-09,ST,Toys,108.4,F,31,Cash
INV00005,C00361,P00165,2024-08-09,ST,Groceries,301.49,F,31,Cash
INV00006,C00772,P00364,2025-08-23,MK,Electronics,3224.3,M,49,Cash
INV00006,C00772,P00207,2025-08-23,MK,Clothing,172.43,M,49,Cash
INV00007,C01173,P00049,2025-05-16,TKO,Electronics,1730.04,M,41,Mobile Payment
INV00007,C01173,P00341,2025-05-16,TKO,Toys,119.72,M,41,Mobile Payment
INV00007,C01173,P00368,2025-05-16,TKO,Clothing,618.82,M,41,Mobile Payment
INV00008,C00905,P00271,2024-07-31,ST,Toys,108.14,M,53,Cash
INV00008,C00905,P00387,2024-07-31,ST,Books,197.4,M,53,Cash
INV00009,C00809,P00006,2025-10-01,TKO,Clothing,185.09,F,47,Credit Card
INV00009,C00809,P00345,2025-10-01,TKO,Groceries,257.63,F,47,Credit Card
INV00009,C00809,P00489,2025-10-01,TKO,Groceries,277.39,F,47,Credit Card
INV00010,C00436,P00271,2024-02-08,MK,Toys,108.14,F,23,Credit Card
INV00010,C00436,P00387,2024-02-08,MK,Books,197.4,F,23,Credit Card
INV00011,C00838,P00520,2024-05-01,MK,Books,439.37,F,38,Cash
INV00012,C00869,P00270,2025-12-18,TKO,Electronics,1546.75,M,35,Credit Card
INV00012,C00869,P00442,2025-12-18,TKO,Toys,129.62,M,35,Credit Card
INV00012,C00869,P00118,2025-12-18,TKO,Electronics,3560.13,M,35,Credit Card
INV00012,C00869,P00217,2025-12-18,TKO,Groceries,60.05,M,35,Credit Card
INV00013,C00401,P00235,2025-03-07,ST,Toys,102.83,M,41,Cash
INV00013,C00401,P00355,2025-03-07,ST,Books,236.37,M,41,Cash
INV00014,C00575,P00510,2025-07-06,TKO,Clothing,235.19,M,55,Credit Card
INV00014,C00575,P00068,2025-07-06,TKO,Books,149.17,M,55,Credit Card
INV00014,C00575,P00229,2025-07-06,TKO,Toys,138.76,M,55,Credit Card
INV00015,C00455,P00405,2025-02-04,TKO,Clothing,404.12,M,22,Credit Card
INV00015,C00455,P00234,2025-02-04,TKO,Toys,126.82,M,22,Credit Card
INV00015,C00455,P00342,2025-02-04,TKO,Groceries,151.88,M,22,Credit Card
INV00016,C00112,P00078,2025-08-25,ST,Clothing,570.67,M,52,Cash
INV00016,C00112,P00065,2025-08-25,ST,Clothing,467.57,M,52,Cash
INV00016,C00112,P00033,2025-08-25,ST,Electronics,3038.85,M,52,Cash
INV00016,C00112,P00507,2025-08-25,ST,Clothing,386.59,M,52,Cash
INV00016,C00112,P00257,2025-08-25,ST,Groceries,79.2,M,52,Cash
INV00017,C00561,P00247,2025-12-12,TKO,Clothing,825.56,F,21,Cash
INV00017,C00561,P00214,2025-12-12,TKO,Electronics,1984.29,F,21,Cash
INV00017,C00561,P00506,2025-12-12,TKO,Clothing,812.21,F,21,Cash
INV00017,C00561,P00400,2025-12-12,TKO,Electronics,3858.16,F,21,Cash
INV00018,C00194,P00271,2025-01-28,TKO,Toys,108.14,M,35,Cash
INV00018,C00194,P00387,2025-01-28,TKO,Books,197.4,M,35,Cash
INV00018,C00194,P00135,2025-01-28,TKO,Books,382.28,M,35,Cash
INV00018,C00194,P00069,2025-01-28,TKO,Toys,99.61,M,35,Cash
INV00019,C01109,P00508,2025-05-06,TKO,Electronics,2107.43,F,41,Credit Card
INV00019,C01109,P00439,2025-05-06,TKO,Electronics,4156.82,F,41,Credit Card
INV00019,C01109,P00232,2025-05-06,TKO,Clothing,306.07,F,41,Credit Card
