Invoice no,Customer id,Product id list,Invoice date,Shopping mall,ProductList,Product id,Category,Price,Gender,Age,Payment method,LineAmount,InvoiceAmount
INV00001,C00712,P00442,2025-12-25,MK,P00442,P00442,Toys,129.62,F,39,Cash,129.62,129.62
INV00002,C00168,"P00270,P00442",2024-05-16,CYB,P00270,P00270,Electronics,1546.75,M,22,Credit Card,1546.75,1676.37
INV00002,C00168,"P00270,P00442",2024-05-16,CYB,P00442,P00442,Toys,129.62,M,22,Credit Card,129.62,1676.37
INV00003,C00904,"P00530,P00355,P00522,P00224",2024-07-01,ST,P00530,P00530,Clothing,975.6,M,25,Cash,975.6,2141.55
INV00003,C00904,"P00530,P00355,P00522,P00224",2024-07-01,ST,P00355,P00355,Books,236.37,M,25,Cash,236.37,2141.55
INV00003,C00904,"P00530,P00355,P00522,P00224",2024-07-01,ST,P00522,P00522,Clothing,515.52,M,25,Cash,515.52,2141.55
INV00003,C00904,"P00530,P00355,P00522,P00224",2024-07-01,ST,P00224,P00224,Books,414.06,M,25,Cash,414.06,2141.55
INV00004,C01112,P00157,2025-03-31,TKO,P00157,P00157,Toys,101.52,M,42,Credit Card,101.52,101.52
INV00005,C00361,"P00160,P00020,P00116,P00165",2024-08-09,ST,P00160,P00160,Toys,120.34,F,31,Cash,120.34,4325.52
INV00005,C00361,"P00160,P00020,P00116,P00165",2024-08-09,ST,P00020,P00020,Electronics,3795.29,F,31,Cash,3795.29,4325.52
INV00005,C00361,"P00160,P00020,P00116,P00165",2024-08-09,ST,P00116,P00116,Toys,108.4,F,31,Cash,108.4,4325.52
INV00005,C00361,"P00160,P00020,P00116,P00165",2024-08-09,ST,P00165,P00165,Groceries,301.49,F,31,Cash,301.49,4325.52
INV00006,C00772,"P00364,P00207",2025-08-23,MK,P00364,P00364,Electronics,3224.3,M,49,Cash,3224.3,3396.73
INV00006,C00772,"P00364,P00207",2025-08-23,MK,P00207,P00207,Clothing,172.43,M,49,Cash,172.43,3396.73
INV00007,C01173,"P00049,P00341,P00368",2025-05-16,TKO,P00049,P00049,Electronics,1730.04,M,41,Mobile Payment,1730.04,2468.58
INV00007,C01173,"P00049,P00341,P00368",2025-05-16,TKO,P00341,P00341,Toys,119.72,M,41,Mobile Payment,119.72,2468.58
INV00007,C01173,"P00049,P00341,P00368",2025-05-16,TKO,P00368,P00368,Clothing,618.82,M,41,Mobile Payment,618.82,2468.58
INV00008,C00905,"P00271,P00387",2024-07-31,ST,P00271,P00271,Toys,108.14,M,53,Cash,108.14,305.54
INV00008,C00905,"P00271,P00387",2024-07-31,ST,P00387,P00387,Books,197.4,M,53,Cash,197.4,305.54
INV00009,C00809,"P00006,P00345,P00489",2025-10-01,TKO,P00006,P00006,Clothing,185.09,F,47,Credit Card,185.09,720.11
INV00009,C00809,"P00006,P00345,P00489",2025-10-01,TKO,P00345,P00345,Groceries,257.63,F,47,Credit Card,257.63,720.11
INV00009,C00809,"P00006,P00345,P00489",2025-10-01,TKO,P00489,P00489,Groceries,277.39,F,47,Credit Card,277.39,720.11
INV00010,C00436,"P00271,P00387",2024-02-08,MK,P00271,P00271,Toys,108.14,F,23,Credit Card,108.14,305.54
INV00010,C00436,"P00271,P00387",2024-02-08,MK,P00387,P00387,Books,197.4,F,23,Credit Card,197.4,305.54
INV00011,C00838,P00520,2024-05-01,MK,P00520,P00520,Books,439.37,F,38,Cash,439.37,439.37
INV00012,C00869,"P00270,P00442,P00118,P00217",2025-12-18,TKO,P00270,P00270,Electronics,1546.75,M,35,Credit Card,1546.75,5296.55
INV00012,C00869,"P00270,P00442,P00118,P00217",2025-12-18,TKO,P00442,P00442,Toys,129.62,M,35,Credit Card,129.62,5296.55
INV00012,C00869,"P00270,P00442,P00118,P00217",2025-12-18,TKO,P00118,P00118,Electronics,3560.13,M,35,Credit Card,3560.13,5296.55
INV00012,C00869,"P00270,P00442,P00118,P00217",2025-12-18,TKO,P00217,P00217,Groceries,60.05,M,35,Credit Card,60.05,5296.55
INV00013,C00401,"P00235,P00355",2025-03-07,ST,P00235,P00235,Toys,102.83,M,41,Cash,102.83,339.2
INV00013,C00401,"P00235,P00355",2025-03-07,ST,P00355,P00355,Books,236.37,M,41,Cash,236.37,339.2
INV00014,C00575,"P00510,P00068,P00229",2025-07-06,TKO,P00510,P00510,Clothing,235.19,M,55,Credit Card,235.19,523.12
INV00014,C00575,"P00510,P00068,P00229",2025-07-06,TKO,P00068,P00068,Books,149.17,M,55,Credit Card,149.17,523.12
INV00014,C00575,"P00510,P00068,P00229",2025-07-06,TKO,P00229,P00229,Toys,138.76,M,55,Credit Card,138.76,523.12
INV00015,C00455,"P00405,P00234,P00342",2025-02-04,TKO,P00405,P00405,Clothing,404.12,M,22,Credit Card,404.12,682.8199999999999
INV00015,C00455,"P00405,P00234,P00342",2025-02-04,TKO,P00234,P00234,Toys,126.82,M,22,Credit Card,126.82,682.8199999999999
INV00015,C00455,"P00405,P00234,P00342",2025-02-04,TKO,P00342,P00342,Groceries,151.88,M,22,Credit Card,151.88,682.8199999999999
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",2025-08-25,ST,P00078,P00078,Clothing,570.67,M,52,Cash,570.67,4542.88
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",2025-08-25,ST,P00065,P00065,Clothing,467.57,M,52,Cash,467.57,4542.88
INV00016,C00112,"P00078,P00065,P00033,P00507,P00257",2025-08-25,ST,P00033,P00033,Electronics,3038.85,M,52,Cash,3038.85,4542.88
