Customer id,Recency,Frequency,Monetary,CategoryVariety,AvgInvoice,PreferredMall,Cluster
C00001,58,3,36293.51,3,5184.787142857143,TKO,1
C00002,9,4,23993.87,4,2999.23375,TKO,1
C00003,163,2,39053.9,4,5579.128571428571,MK,1
C00004,164,6,56074.91,5,3738.3273333333336,CYB,0
C00005,216,5,34654.26,5,1925.2366666666667,TKO,0
C00006,244,3,40154.15,5,4461.572222222222,MK,0
C00007,52,4,52322.340000000004,4,4360.195000000001,TKO,0
C00008,156,6,54821.49,5,3045.6383333333333,TKO,0
C00009,407,4,12539.56,4,1791.3657142857141,MK,1
C00010,8,6,53615.09,5,2978.616111111111,MK,0
C00011,15,4,26612.97,5,2661.297,MK,0
C00012,496,3,48996.35,5,4454.213636363636,ST,1
C00013,134,6,64357.42999999999,5,4290.495333333333,CYB,0
C00014,152,4,20125.190000000002,4,1829.5627272727274,TKO,1
C00015,530,3,52374.97,5,5237.497,TKO,1
C00016,141,3,78671.43000000001,5,6555.9525,TKO,0
C00017,35,5,46625.61,5,4238.691818181818,MK,0
C00018,46,9,133008.0,5,5542.0,TKO,0
C00019,228,8,137817.84,5,5742.41,MK,0
C00020,191,3,35388.549999999996,5,3538.8549999999996,CYB,1
C00021,36,8,133439.84,5,5132.301538461538,TKO,0
C00022,183,3,4587.35,3,917.47,TKO,1
C00023,26,6,112531.62999999999,5,6619.507647058823,CYB,0
C00024,230,4,23170.969999999998,4,3310.138571428571,MK,1
C00025,278,7,63535.060000000005,5,2647.294166666667,CYB,0
C00026,225,3,70169.34999999999,5,5847.445833333332,ST,0
C00027,93,2,17106.3,3,1710.6299999999999,TKO,1
C00028,388,4,6902.03,4,690.203,CYB,1
C00029,60,7,38623.32,5,2032.8063157894737,MK,0
C00030,201,3,16884.19,4,1876.021111111111,MK,1
C00031,166,2,20972.79,4,3495.465,MK,1
C00032,480,2,21544.98,4,3590.83,CYB,1
C00034,321,8,88960.36,5,4236.207619047619,MK,0
C00035,69,5,64971.66,5,3609.536666666667,CYB,0
C00036,62,2,13468.699999999999,5,2244.7833333333333,CYB,1
C00037,260,3,32684.91,5,3268.491,ST,1
